trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 1.0}",35,0,-254.00722151188685,"{0: 15, 1: 7, 2: 8, 3: 2, 4: 3}",0
2,False,"{'a': 0.002, 'e': 0.9980019986673331}",20,9,-39.23143676802013,"{0: 8, 1: 0, 2: 1, 3: 2, 4: 0}",1
3,False,"{'a': 0.002, 'e': 0.9960079893439915}",30,0,-145.93193375666243,"{0: 20, 1: 4, 2: 3, 3: 0, 4: 3}",0
4,False,"{'a': 0.002, 'e': 0.9940179640539353}",25,0,-28.448241832265623,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.002, 'e': 0.9920319148370607}",25,0,-82.34616689905964,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.002, 'e': 0.9900498337491681}",25,0,-201.07117957673597,"{0: 12, 1: 2, 2: 7, 3: 1, 4: 3}",0
7,False,"{'a': 0.002, 'e': 0.9880717128619305}",25,5,-179.22146823180913,"{0: 11, 1: 2, 2: 2, 3: 2, 4: 3}",1
8,False,"{'a': 0.002, 'e': 0.9860975442628619}",20,0,-88.90784282197542,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.002, 'e': 0.9841273200552851}",20,0,-50.142309231687136,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.002, 'e': 0.9821610323583008}",20,6,-75.71264662056316,"{0: 8, 1: 2, 2: 2, 3: 1, 4: 1}",1
11,False,"{'a': 0.002, 'e': 0.9801986733067553}",20,0,-119.44695116357995,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.002, 'e': 0.97824023505121}",20,0,-26.876355964136472,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.002, 'e': 0.9762857097579093}",25,0,-87.10193085437058,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.002, 'e': 0.9743350896087494}",20,0,-115.13376019649336,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.002, 'e': 0.9723883668012469}",30,4,-122.17450041657239,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 2}",1
16,False,"{'a': 0.002, 'e': 0.9704455335485082}",20,0,-163.77979718858867,"{0: 10, 1: 2, 2: 3, 3: 3, 4: 2}",0
17,False,"{'a': 0.002, 'e': 0.9685065820791976}",20,0,-144.05212921665424,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
18,False,"{'a': 0.002, 'e': 0.9665715046375066}",30,0,-130.65022488846114,"{0: 18, 1: 4, 2: 5, 3: 2, 4: 1}",0
19,False,"{'a': 0.002, 'e': 0.9646402934831231}",30,0,-16.878363791743315,"{0: 24, 1: 3, 2: 3, 3: 0, 4: 0}",0
20,False,"{'a': 0.002, 'e': 0.9627129408911995}",20,0,-95.52526844389827,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
